,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26
s1,,18,10,17,10,13,14,8,4,10,12,8,9,12,7,5,9,3,8,4,4,4,3,1,1,1
s2,,,11,17,11,14,12,7,4,7,11,9,9,9,6,5,11,2,10,3,4,3,4,2,2,2
s3,,,,14,13,24,13,4,2,5,7,2,3,4,5,3,9,2,14,4,2,3,2,2,1,1
s4,,,,,12,14,10,11,7,13,13,10,11,12,6,7,12,4,14,4,3,4,4,1,1,1
s5,,,,,,14,9,1,3,7,9,10,10,8,6,6,8,4,12,5,3,3,5,3,2,2
s6,,,,,,,15,4,3,6,9,2,3,5,7,3,14,3,16,3,3,4,2,1,1,1
s7,,,,,,,,6,4,6,8,5,5,7,8,6,9,3,7,7,5,4,3,3,1,1
s8,,,,,,,,,9,6,5,5,5,5,6,9,3,1,3,2,4,3,2,0,1,1
s9,,,,,,,,,,5,6,4,4,4,4,10,3,2,3,2,3,3,3,1,2,2
s10,,,,,,,,,,,10,6,7,9,5,5,4,3,8,4,2,3,2,0,1,1
s11,,,,,,,,,,,,7,8,9,5,6,5,3,7,4,3,3,4,1,2,2
s12,,,,,,,,,,,,,20,8,5,7,2,2,2,3,2,1,7,3,1,1
s13,,,,,,,,,,,,,,8,5,7,2,2,3,3,2,1,7,3,1,1
s14,,,,,,,,,,,,,,,5,4,4,3,5,3,3,3,3,0,1,1
s15,,,,,,,,,,,,,,,,3,3,2,4,4,6,6,2,1,1,1
s16,,,,,,,,,,,,,,,,,3,3,3,4,2,2,6,3,2,2
s17,,,,,,,,,,,,,,,,,,2,11,1,1,2,1,0,0,0
s18,,,,,,,,,,,,,,,,,,,2,3,1,2,2,1,1,1
s19,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,0,0
s20,,,,,,,,,,,,,,,,,,,,,2,3,2,3,1,1
s21,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1
s22,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
s23,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
s24,,,,,,,,,,,,,,,,,,,,,,,,,1,1
s25,,,,,,,,,,,,,,,,,,,,,,,,,,2
s26,,,,,,,,,,,,,,,,,,,,,,,,,,
